iter	Passed	Remaining
0	9	275
1	17	242
2	25	227
3	32	212
4	39	197
5	46	184
6	52	172
7	59	162
8	66	154
9	72	144
10	79	136
11	86	129
12	92	121
13	99	113
14	105	105
15	112	98
16	119	91
17	125	83
18	132	76
19	139	69
20	145	62
21	152	55
22	159	48
23	166	41
24	172	34
25	179	27
26	185	20
27	191	13
28	198	6
29	204	0
