iter	Passed	Remaining
0	9	271
1	17	239
2	24	218
3	31	203
4	38	191
5	45	181
6	52	171
7	59	163
8	66	154
9	73	146
10	80	138
11	87	130
12	94	123
13	101	116
14	108	108
15	115	101
16	122	93
17	129	86
18	136	79
19	143	71
20	151	64
21	158	57
22	164	50
23	172	43
24	179	35
25	186	28
26	193	21
27	200	14
28	207	7
29	214	0
