iter	Passed	Remaining
0	8	256
1	16	230
2	23	212
3	30	200
4	38	190
5	45	180
6	52	172
7	59	163
8	66	155
9	73	147
10	80	139
11	87	131
12	94	124
13	101	116
14	108	108
15	115	101
16	123	94
17	129	86
18	137	79
19	143	71
20	150	64
21	157	57
22	164	50
23	171	42
24	178	35
25	185	28
26	192	21
27	199	14
28	206	7
29	213	0
