iter	Passed	Remaining
0	8	254
1	16	227
2	23	207
3	29	194
4	36	184
5	43	174
6	50	165
7	57	157
8	63	148
9	70	140
10	77	133
11	84	126
12	90	118
13	97	111
14	103	103
15	110	96
16	117	89
17	123	82
18	130	75
19	137	68
20	144	61
21	151	55
22	159	48
23	166	41
24	173	34
25	181	27
26	188	20
27	195	13
28	202	6
29	209	0
